filename,spectral_centroid,zero_crossings,spectral_rolloff,chroma_stft,rms,mel_spec,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label
108619__nikolino__goodsound_0.wav,1379.4211749070455,0.055684407552083336,2738.7542724609375,0.13764899969100952,112.48838806152344,4.4530253410339355,-375.4205322265625,54.42115020751953,-43.18141555786133,37.586612701416016,-15.343244552612305,-25.257463455200195,-5.781622886657715,-21.222999572753906,-18.264175415039062,-20.631126403808594,-12.690752983093262,-7.121672630310059,Far_miss
108619__nikolino__goodsound_1.wav,1427.6658267053465,0.06573260271990741,2745.533243815104,0.1464044451713562,146.98793029785156,0.5024343729019165,-506.11138916015625,24.00749969482422,-16.032211303710938,7.59705924987793,-3.4062576293945312,-17.499422073364258,-9.312629699707031,-11.464751243591309,-15.109513282775879,-10.988733291625977,-7.066410541534424,-6.345709800720215,Far_miss
108619__nikolino__goodsound_2.wav,1439.7068480792777,0.05797887731481482,2949.8494466145835,0.1420803815126419,116.91779327392578,3.959038257598877,-394.1811828613281,40.97701644897461,-40.42749786376953,34.33598709106445,-15.865645408630371,-25.15138053894043,-4.812429904937744,-20.07881736755371,-17.497777938842773,-19.282941818237305,-14.025675773620605,-5.37907075881958,Far_miss
108619__nikolino__goodsound_3.wav,1550.8313755429645,0.05781385633680555,3116.8314615885415,0.13810794055461884,207.8816375732422,0.005818970967084169,-715.7069702148438,35.059574127197266,-30.648569107055664,24.096389770507812,-10.193336486816406,-22.98552703857422,-4.6856207847595215,-18.637508392333984,-16.819650650024414,-16.344192504882812,-14.395763397216797,-5.049576282501221,Far_miss
108619__nikolino__goodsound_4.wav,3024.229477698697,0.20532746010638298,6499.36211768617,0.16462597250938416,287.0461120605469,3.5216405080973345e-07,-993.636962890625,15.743760108947754,-11.80117130279541,8.26894760131836,-5.662134170532227,-9.218480110168457,-8.727643013000488,-4.95711088180542,-13.475845336914062,-7.818391799926758,-9.478297233581543,-1.3328235149383545,Far_miss
112250__jobro__elevator-ride_(1)_00.wav,6149.125528281561,0.5318490487557871,9085.616048177084,0.49862924218177795,55.150001525878906,0.52011638879776,-174.66717529296875,-23.13715362548828,28.396257400512695,1.4436492919921875,1.0220099687576294,4.668901443481445,-7.599355697631836,3.293165683746338,-8.131921768188477,3.2968225479125977,-7.453527450561523,5.461074352264404,Far_miss
112250__jobro__elevator-ride_(1)_01.wav,6536.082825011021,0.5809461805555556,9208.983357747396,0.46412989497184753,54.070674896240234,0.30911490321159363,-173.3782958984375,-35.15535354614258,30.446285247802734,-1.0962870121002197,-5.4963154792785645,-0.3391963243484497,-6.798730850219727,3.517566204071045,-8.624850273132324,2.1934597492218018,-11.11903190612793,7.53131103515625,Far_miss
112250__jobro__elevator-ride_(1)_02.wav,6925.660317463615,0.6265394422743056,9244.074503580729,0.37269988656044006,49.82564163208008,0.8324093818664551,-148.41632080078125,-45.35668182373047,43.949153900146484,1.443644642829895,2.8938004970550537,5.263064861297607,-4.218325138092041,1.26352858543396,-6.713629722595215,8.720787048339844,-11.948395729064941,8.439621925354004,Far_miss
112250__jobro__elevator-ride_(1)_03.wav,6027.380415224376,0.4898726851851852,8928.453572591146,0.43105924129486084,57.15116500854492,0.8286502957344055,-175.3262481689453,-9.757805824279785,35.96183776855469,-0.6342357993125916,-6.445230007171631,4.902042388916016,-3.9735379219055176,1.7699106931686401,-7.970215797424316,5.702861309051514,-16.18351936340332,5.774737358093262,Far_miss
112250__jobro__elevator-ride_(1)_04.wav,5897.91266328649,0.4906638816550926,8859.517415364584,0.46503543853759766,47.06271743774414,0.3515786826610565,-149.41180419921875,-11.622118949890137,23.460159301757812,5.322272777557373,-2.9624056816101074,3.866974115371704,-6.676961421966553,-0.19665153324604034,-6.033121585845947,4.975103378295898,-13.285163879394531,2.92560076713562,Far_miss
