filename,spectral_centroid,zero_crossings,spectral_rolloff,chroma_stft,rms,mel_spec,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,label
108619__nikolino__goodsound_0.wav,1379.4211749070455,0.055684407552083336,2738.7542724609375,0.13764899969100952,64.55486297607422,4.4530253410339355,-375.4205322265625,54.42115020751953,-43.18141555786133,37.586612701416016,-15.343244552612305,-25.257463455200195,-5.781622886657715,-21.222999572753906,-18.264175415039062,-20.631126403808594,-12.690752983093262,-7.121672630310059,0.6818090081214905,20.520126342773438,36.47414016723633,39.994293212890625,16.67244529724121,-19.233516693115234,-34.966678619384766,-18.582157135009766,3.814436197280884,3.5950796604156494,-20.02439308166504,-36.03031921386719,-14.236441612243652,10.67387580871582,-2.0869855880737305,-10.01523208618164,23.684677124023438,42.713253021240234,9.67376708984375,-27.19379997253418,-18.691333770751953,4.1937174797058105,-11.045960426330566,-15.896697044372559,7.217923164367676,-10.475305557250977,-30.68222427368164,-0.8434784412384033,Far_miss
108619__nikolino__goodsound_1.wav,1427.6658267053465,0.06573260271990741,2745.533243815104,0.1464044451713562,81.6754379272461,0.5024343729019165,-506.11138916015625,24.00749969482422,-16.032211303710938,7.59705924987793,-3.4062576293945312,-17.499422073364258,-9.312629699707031,-11.464751243591309,-15.109513282775879,-10.988733291625977,-7.066410541534424,-6.345709800720215,1.583479404449463,18.256858825683594,29.97176170349121,28.08957862854004,10.951851844787598,-10.116217613220215,-17.469388961791992,-9.992584228515625,-1.4284223318099976,-3.654569625854492,-15.65294075012207,-20.745939254760742,-6.656321048736572,7.487520694732666,1.0120004415512085,-1.2541041374206543,20.985525131225586,31.625852584838867,7.842416286468506,-15.320403099060059,-9.40609359741211,0.45259585976600647,-9.134247779846191,-8.626978874206543,2.4485321044921875,-11.025396347045898,-18.504175186157227,3.9278500080108643,Far_miss
108619__nikolino__goodsound_2.wav,1439.7068480792777,0.05797887731481482,2949.8494466145835,0.1420803815126419,67.04180908203125,3.959038257598877,-394.1811828613281,40.97701644897461,-40.42749786376953,34.33598709106445,-15.865645408630371,-25.15138053894043,-4.812429904937744,-20.07881736755371,-17.497777938842773,-19.282941818237305,-14.025675773620605,-5.37907075881958,4.141008377075195,22.167299270629883,40.557987213134766,41.66104507446289,11.544946670532227,-23.49871063232422,-31.388193130493164,-13.131499290466309,5.346578121185303,0.9316603541374207,-26.355772018432617,-38.08205032348633,-9.392627716064453,12.662407875061035,-2.0819568634033203,-3.5102598667144775,30.658817291259766,42.05677032470703,3.943270444869995,-30.502891540527344,-14.961188316345215,6.360131740570068,-12.584602355957031,-12.26869010925293,9.96633529663086,-17.053024291992188,-34.203189849853516,9.305413246154785,Far_miss
108619__nikolino__goodsound_3.wav,1550.8313755429645,0.05781385633680555,3116.8314615885415,0.13810794055461884,115.23180389404297,0.005818970967084169,-715.7069702148438,35.059574127197266,-30.648569107055664,24.096389770507812,-10.193336486816406,-22.98552703857422,-4.6856207847595215,-18.637508392333984,-16.819650650024414,-16.344192504882812,-14.395763397216797,-5.049576282501221,3.534661293029785,20.232421875,35.39546203613281,35.332828521728516,9.676985740661621,-20.735048294067383,-26.26227569580078,-11.82674789428711,3.424555540084839,-1.9412511587142944,-24.55258560180664,-31.349170684814453,-7.708086013793945,11.391942977905273,0.04523750767111778,-0.6756203174591064,29.36467170715332,36.43510437011719,1.1217451095581055,-25.792991638183594,-11.931459426879883,3.6256723403930664,-12.718916893005371,-11.753743171691895,6.727370262145996,-18.077030181884766,-29.815914154052734,11.493437767028809,Far_miss
108619__nikolino__goodsound_4.wav,3024.229477698697,0.20532746010638298,6499.36211768617,0.16462597250938416,157.71365356445312,3.5216405080973345e-07,-993.636962890625,15.743760108947754,-11.80117130279541,8.26894760131836,-5.662134170532227,-9.218480110168457,-8.727643013000488,-4.95711088180542,-13.475845336914062,-7.818391799926758,-9.478297233581543,-1.3328235149383545,4.402519226074219,22.226877212524414,30.515560150146484,30.118436813354492,5.109250068664551,-11.602346420288086,-14.790894508361816,-2.508599042892456,0.00586865795776248,1.3654776811599731,-15.534707069396973,-18.88164710998535,-2.2283055782318115,12.820930480957031,-1.7286993265151978,1.8341195583343506,16.99557113647461,24.03615379333496,2.6787896156311035,-12.967045783996582,-5.775130271911621,3.728611707687378,-10.8621826171875,-5.266983509063721,3.9372899532318115,-8.908596992492676,-16.343833923339844,8.405744552612305,Far_miss
112250__jobro__elevator-ride_(1)_00.wav,6149.125528281561,0.5318490487557871,9085.616048177084,0.49862924218177795,30.655973434448242,0.52011638879776,-174.66717529296875,-23.13715362548828,28.396257400512695,1.4436492919921875,1.0220099687576294,4.668901443481445,-7.599355697631836,3.293165683746338,-8.131921768188477,3.2968225479125977,-7.453527450561523,5.461074352264404,-5.977352142333984,-0.9596248269081116,-2.7773854732513428,-0.028200503438711166,-5.87825870513916,2.4202749729156494,-6.3873138427734375,1.564151644706726,-4.7215728759765625,1.3657435178756714,-5.822821617126465,2.103923797607422,-6.6146321296691895,0.4802938997745514,-4.3901824951171875,0.19117991626262665,-3.743618965148926,0.989233672618866,-2.9087204933166504,1.2117623090744019,-3.010115623474121,1.1408894062042236,-2.386017084121704,0.7334240078926086,-2.7584826946258545,1.8717538118362427,-1.9046120643615723,0.7482269406318665,Far_miss
112250__jobro__elevator-ride_(1)_01.wav,6536.082825011021,0.5809461805555556,9208.983357747396,0.46412989497184753,30.090986251831055,0.30911490321159363,-173.3782958984375,-35.15535354614258,30.446285247802734,-1.0962870121002197,-5.4963154792785645,-0.3391963243484497,-6.798730850219727,3.517566204071045,-8.624850273132324,2.1934597492218018,-11.11903190612793,7.53131103515625,-4.873433589935303,-2.4538333415985107,-4.014167308807373,-2.138112783432007,-10.255156517028809,3.178415298461914,-11.197161674499512,0.7207745313644409,-6.366489410400391,0.4488711953163147,-8.312650680541992,-0.03635477274656296,-6.58512020111084,1.292866826057434,-3.306532621383667,-1.0052615404129028,-4.619944095611572,-0.5103119611740112,-4.1047539710998535,1.4053664207458496,-3.984907627105713,-1.8037493228912354,-1.18570876121521,0.48708292841911316,-2.736264228820801,1.5778321027755737,-1.6883482933044434,1.1183958053588867,Far_miss
112250__jobro__elevator-ride_(1)_02.wav,6925.660317463615,0.6265394422743056,9244.074503580729,0.37269988656044006,27.78006935119629,0.8324093818664551,-148.41632080078125,-45.35668182373047,43.949153900146484,1.443644642829895,2.8938004970550537,5.263064861297607,-4.218325138092041,1.26352858543396,-6.713629722595215,8.720787048339844,-11.948395729064941,8.439621925354004,-7.6839823722839355,-3.488101005554199,-0.7158949971199036,1.1144064664840698,-6.543936252593994,3.4726877212524414,-8.1264009475708,3.3643221855163574,-3.6098856925964355,0.37805303931236267,-6.8297648429870605,3.6050989627838135,-6.198062896728516,0.9350031614303589,-3.384012222290039,-0.06318739801645279,-2.0800187587738037,0.6123688220977783,-1.6726973056793213,-1.0834230184555054,-3.3045992851257324,-1.5611824989318848,-0.3589071035385132,-0.5233860611915588,-1.6924481391906738,-0.1003139540553093,-1.4215141534805298,0.2824050486087799,Far_miss
112250__jobro__elevator-ride_(1)_03.wav,6027.380415224376,0.4898726851851852,8928.453572591146,0.43105924129486084,31.94550895690918,0.8286502957344055,-175.3262481689453,-9.757805824279785,35.96183776855469,-0.6342357993125916,-6.445230007171631,4.902042388916016,-3.9735379219055176,1.7699106931686401,-7.970215797424316,5.702861309051514,-16.18351936340332,5.774737358093262,-9.62283706665039,-2.828625440597534,-6.639772891998291,0.0015591515693813562,-10.635249137878418,2.312342405319214,-12.137922286987305,-0.21445104479789734,-5.872487545013428,-1.879594326019287,-6.967687606811523,3.2498669624328613,-8.759236335754395,1.101929783821106,-6.24113655090332,-0.8778010010719299,-4.338391304016113,-1.5768969058990479,-2.4713525772094727,-1.1192114353179932,-3.982247829437256,-0.8893139362335205,-0.7160836458206177,-0.5986977815628052,-0.37894880771636963,0.6388051509857178,-1.2513082027435303,0.8213896155357361,Far_miss
112250__jobro__elevator-ride_(1)_04.wav,5897.91266328649,0.4906638816550926,8859.517415364584,0.46503543853759766,26.56583023071289,0.3515786826610565,-149.41180419921875,-11.622118949890137,23.460159301757812,5.322272777557373,-2.9624056816101074,3.866974115371704,-6.676961421966553,-0.19665153324604034,-6.033121585845947,4.975103378295898,-13.285163879394531,2.92560076713562,-13.60506820678711,0.05174410715699196,-11.130444526672363,0.38014304637908936,-8.933570861816406,1.8796883821487427,-11.40175724029541,-1.7708969116210938,-5.477852821350098,-0.689546525478363,-6.915195941925049,3.235529661178589,-6.840573787689209,2.167673349380493,-5.151125431060791,0.44049742817878723,-4.513399600982666,0.2686493396759033,-4.229822635650635,1.1171135902404785,-5.069214820861816,0.7463840842247009,-1.0419832468032837,1.7880849838256836,-1.1281059980392456,2.198216676712036,-1.950197458267212,0.11570029705762863,Far_miss
