filename,spectral_centroid,zero_crossings,spectral_rolloff,chroma_stft,rms,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,label
108619__nikolino__goodsound_0.wav,1379.4211749070455,0.055684407552083336,2738.7542724609375,0.13764899969100952,64.55486297607422,-375.4205322265625,54.42115020751953,-43.18141555786133,37.586612701416016,-15.343244552612305,-25.257463455200195,-5.781622886657715,-21.222999572753906,-18.264175415039062,-20.631126403808594,-12.690752983093262,-7.121671676635742,0.6818090081214905,20.520126342773438,36.47414016723633,39.994293212890625,16.67244529724121,-19.233516693115234,-34.966678619384766,-18.582155227661133,3.814436197280884,3.5950796604156494,-20.02439308166504,-36.03031539916992,-14.236441612243652,10.67387580871582,-2.0869855880737305,-10.015230178833008,23.684675216674805,42.713253021240234,9.67376708984375,-27.19379997253418,-18.691333770751953,4.1937174797058105,-11.045960426330566,-15.896697044372559,7.217923164367676,-10.475305557250977,-30.68222427368164,-0.8434784412384033,negative
108619__nikolino__goodsound_1.wav,1427.6658267053465,0.06573260271990741,2745.533243815104,0.146404430270195,81.6754379272461,-506.11138916015625,24.00749969482422,-16.032211303710938,7.59705924987793,-3.4062576293945312,-17.499422073364258,-9.312629699707031,-11.464751243591309,-15.109513282775879,-10.988733291625977,-7.066409587860107,-6.345709800720215,1.5834792852401733,18.256858825683594,29.97176170349121,28.08957862854004,10.951851844787598,-10.116217613220215,-17.469388961791992,-9.992584228515625,-1.4284223318099976,-3.654569625854492,-15.65294075012207,-20.745939254760742,-6.656321048736572,7.487520694732666,1.0120004415512085,-1.2541041374206543,20.985525131225586,31.625852584838867,7.842416286468506,-15.320403099060059,-9.40609359741211,0.45259588956832886,-9.134247779846191,-8.626978874206543,2.4485321044921875,-11.025396347045898,-18.504175186157227,3.927849769592285,negative
108619__nikolino__goodsound_2.wav,1439.7068480792777,0.05797887731481482,2949.8494466145835,0.1420803815126419,67.04180908203125,-394.1811828613281,40.97701644897461,-40.42749786376953,34.33599090576172,-15.865645408630371,-25.15138053894043,-4.812429904937744,-20.07881736755371,-17.497777938842773,-19.282941818237305,-14.025673866271973,-5.37907075881958,4.141008377075195,22.167299270629883,40.557987213134766,41.66104507446289,11.544946670532227,-23.49871063232422,-31.388193130493164,-13.131499290466309,5.346578121185303,0.9316603541374207,-26.355772018432617,-38.08205032348633,-9.392627716064453,12.662407875061035,-2.0819568634033203,-3.5102598667144775,30.658817291259766,42.05677032470703,3.943270444869995,-30.502891540527344,-14.961188316345215,6.360131740570068,-12.584602355957031,-12.26869010925293,9.96633529663086,-17.053024291992188,-34.203189849853516,9.305413246154785,negative
108619__nikolino__goodsound_3.wav,1550.8313755429645,0.05781385633680555,3116.8314615885415,0.13810794055461884,115.23180389404297,-715.7069702148438,35.059574127197266,-30.648569107055664,24.096389770507812,-10.193336486816406,-22.98552703857422,-4.6856207847595215,-18.637508392333984,-16.819650650024414,-16.344192504882812,-14.39576244354248,-5.049576282501221,3.534661293029785,20.232421875,35.39546203613281,35.332828521728516,9.676985740661621,-20.735048294067383,-26.26227569580078,-11.82674789428711,3.424555540084839,-1.9412511587142944,-24.55258560180664,-31.349170684814453,-7.708086013793945,11.39194393157959,0.04523750767111778,-0.6756201982498169,29.36467170715332,36.43510437011719,1.1217451095581055,-25.792991638183594,-11.931459426879883,3.6256723403930664,-12.718916893005371,-11.753743171691895,6.727370262145996,-18.077030181884766,-29.815914154052734,11.493437767028809,negative
108619__nikolino__goodsound_4.wav,3024.229477698697,0.20532746010638298,6499.36211768617,0.16462597250938416,157.71365356445312,-993.636962890625,15.743762969970703,-11.80117130279541,8.268948554992676,-5.662134170532227,-9.218480110168457,-8.727643013000488,-4.95711088180542,-13.475845336914062,-7.818391799926758,-9.478296279907227,-1.3328235149383545,4.402519226074219,22.226877212524414,30.515560150146484,30.118436813354492,5.109249591827393,-11.602346420288086,-14.790894508361816,-2.508599042892456,0.005868678446859121,1.3654775619506836,-15.53470516204834,-18.88164710998535,-2.2283055782318115,12.820930480957031,-1.7286990880966187,1.834119439125061,16.99557113647461,24.03615379333496,2.6787896156311035,-12.967045783996582,-5.775130271911621,3.728611707687378,-10.8621826171875,-5.266983509063721,3.9372899532318115,-8.908596992492676,-16.343833923339844,8.405744552612305,negative
112250__jobro__elevator-ride_(1)_00.wav,6149.125528281561,0.5318490487557871,9085.616048177084,0.49862930178642273,30.655973434448242,-174.6671600341797,-23.13715362548828,28.396257400512695,1.4436495304107666,1.0220099687576294,4.668901443481445,-7.599355697631836,3.293165683746338,-8.131921768188477,3.2968220710754395,-7.453527450561523,5.461074352264404,-5.977352619171143,-0.9596248865127563,-2.7773854732513428,-0.028200503438711166,-5.87825870513916,2.4202754497528076,-6.3873138427734375,1.5641517639160156,-4.7215728759765625,1.3657433986663818,-5.822821617126465,2.103924036026001,-6.6146321296691895,0.48029395937919617,-4.3901824951171875,0.19117988646030426,-3.743618965148926,0.9892337918281555,-2.9087204933166504,1.2117623090744019,-3.010115385055542,1.140889286994934,-2.386016845703125,0.7334240078926086,-2.7584826946258545,1.8717538118362427,-1.9046119451522827,0.7482269406318665,negative
112250__jobro__elevator-ride_(1)_01.wav,6536.082825011021,0.5809461805555556,9208.983357747396,0.46412989497184753,30.090986251831055,-173.3782958984375,-35.15535354614258,30.446285247802734,-1.0962868928909302,-5.496314525604248,-0.3391963839530945,-6.798730850219727,3.517566442489624,-8.624850273132324,2.1934595108032227,-11.11903190612793,7.53131103515625,-4.873433589935303,-2.45383358001709,-4.014167308807373,-2.138112783432007,-10.255156517028809,3.178415298461914,-11.197161674499512,0.7207745909690857,-6.366489410400391,0.44887110590934753,-8.312650680541992,-0.03635473549365997,-6.585119724273682,1.292866826057434,-3.306532621383667,-1.0052615404129028,-4.619944095611572,-0.5103119611740112,-4.104754447937012,1.4053664207458496,-3.984907388687134,-1.8037493228912354,-1.18570876121521,0.4870830178260803,-2.736264228820801,1.5778321027755737,-1.688348412513733,1.1183958053588867,negative
112250__jobro__elevator-ride_(1)_02.wav,6925.660317463615,0.6265394422743056,9244.074503580729,0.37269988656044006,27.78006935119629,-148.41632080078125,-45.35668182373047,43.949153900146484,1.4436447620391846,2.8938004970550537,5.263065338134766,-4.218325138092041,1.26352858543396,-6.713629722595215,8.720787048339844,-11.948394775390625,8.439621925354004,-7.6839823722839355,-3.488101005554199,-0.7158951163291931,1.1144063472747803,-6.543936252593994,3.472687244415283,-8.1264009475708,3.3643221855163574,-3.6098856925964355,0.37805303931236267,-6.8297648429870605,3.6050984859466553,-6.198063373565674,0.9350032210350037,-3.384012222290039,-0.06318742036819458,-2.0800187587738037,0.6123688220977783,-1.6726971864700317,-1.0834230184555054,-3.3045992851257324,-1.5611824989318848,-0.3589071035385132,-0.5233861207962036,-1.6924481391906738,-0.10031399130821228,-1.4215141534805298,0.2824050486087799,negative
112250__jobro__elevator-ride_(1)_03.wav,6027.380415224376,0.4898726851851852,8928.453572591146,0.43105924129486084,31.94550895690918,-175.3262481689453,-9.757805824279785,35.96183776855469,-0.6342357993125916,-6.445230007171631,4.902042865753174,-3.9735379219055176,1.7699110507965088,-7.970215797424316,5.702861309051514,-16.18351936340332,5.774737358093262,-9.62283706665039,-2.828625440597534,-6.639772891998291,0.0015592575073242188,-10.635250091552734,2.312342405319214,-12.137922286987305,-0.21445100009441376,-5.872487545013428,-1.879594326019287,-6.967687606811523,3.2498669624328613,-8.759236335754395,1.101929783821106,-6.24113655090332,-0.8778008222579956,-4.338391304016113,-1.5768969058990479,-2.4713525772094727,-1.1192113161087036,-3.982247829437256,-0.8893138766288757,-0.7160837650299072,-0.5986977815628052,-0.378948837518692,0.6388052701950073,-1.2513083219528198,0.8213896155357361,negative
112250__jobro__elevator-ride_(1)_04.wav,5897.91266328649,0.4906638816550926,8859.517415364584,0.4650353193283081,26.56583023071289,-149.41180419921875,-11.622118949890137,23.460159301757812,5.3222737312316895,-2.9624056816101074,3.866974115371704,-6.676961421966553,-0.19665153324604034,-6.033121585845947,4.97510290145874,-13.285163879394531,2.92560076713562,-13.60506820678711,0.05174410715699196,-11.130444526672363,0.3801431357860565,-8.933570861816406,1.8796883821487427,-11.40175724029541,-1.7708969116210938,-5.477852821350098,-0.689546525478363,-6.915195465087891,3.235529661178589,-6.840573787689209,2.167673110961914,-5.151125431060791,0.44049739837646484,-4.513399600982666,0.2686493396759033,-4.229822635650635,1.1171135902404785,-5.069214820861816,0.7463842034339905,-1.0419832468032837,1.7880849838256836,-1.1281059980392456,2.198216676712036,-1.9501975774765015,0.11570027470588684,negative
